model,accuracy,precision,recall,f1,auc
AudioCNN,0.9848484848484849,1.0,0.9838709677419355,0.991869918699187,0.9929435483870968
AudioRNN,0.9621212121212122,0.976,0.9838709677419355,0.9799196787148594,0.9889112903225806
